Numero;price;km;Gears;age;Previous_Owners;hp_kW;Inspection_new;Displacement_cc;Weight_kg;cons_comb
67;18900;64000;7;2;1;85;0;1598;1720;4.2
68;18900;13135;7;1;1;70;0;999;1625;4.2
69;18900;4250;7;2;1;70;0;999;1135;4.4
70;18890;2949;7;1;1;70;0;999;1135;4.4
71;18890;17861;7;2;1;71;0;999;1135;4.2
72;18890;22800;7;2;1;92;0;1395;1180;5.1
73;18880;5108;7;2;1;70;1;999;1165;4.4
74;18880;11335;7;1;1;70;1;999;1135;4.4
75;18880;6396;7;1;1;70;0;999;1135;4.4
76;18880;47800;7;3;1;85;1;1598;1180;3.8
77;18880;7021;7;1;1;70;0;929;1180;4.4
78;18880;30952;7;3;1;92;0;1395;1180;5.2
79;18880;33991;7;3;1;92;1;1395;1135;5.2
80;18870;35800;7;2;1;66;1;1422;1135;3.8
81;18850;7672;7;1;1;85;0;1598;1630;3.7
82;18500;13406;7;1;1;85;0;1598;1135;3.8
83;18870;8430;7;1;1;70;1;999;1180;4.6
84;18497;40488;5;3;1;85;1;1598;1250;4
85;18490;24200;7;2;2;66;0;1422;1195;4.1
86;18490;26500;7;2;2;66;1;1422;1180;4
87;18490;58806;7;3;1;71;0;999;1065;4.4
88;18500;39000;7;3;1;85;0;1598;1250;3.8
89;18490;16700;7;2;1;92;0;1395;1215;5.1
90;18490;41900;7;3;1;92;0;1395;1135;5.1
91;18480;15093;7;3;1;92;0;1395;1180;4.9
92;18480;5211;7;1;1;66;0;1422;1135;4
93;18470;12000;7;1;2;70;1;999;1180;4.6
94;18444;50066;7;3;1;92;0;1395;1180;4.9
95;18400;51484;7;2;1;71;0;999;1065;4.4
96;18400;14770;7;1;2;85;0;1598;1135;3.8
97;18900;12415;7;1;2;85;0;1598;1275;4
98;18900;26064;7;1;2;85;0;1598;1275;4
99;18900;16500;7;1;1;85;0;1598;1275;4
100;18900;9000;7;3;1;92;0;1395;1215;4.9
101;18900;12402;7;1;1;85;0;1598;1275;4
102;18900;14702;7;1;1;85;0;1598;1275;4
103;18900;14523;7;1;1;85;0;1598;1275;4
104;18900;9082;7;1;1;85;0;1598;1275;4
105;18900;9580;5;1;1;85;0;1598;1175;3.5
106;18900;10013;5;1;1;85;0;1598;1175;3.5
107;18900;10450;5;1;1;85;0;1598;1175;3.5
108;18900;14878;7;1;1;85;0;1598;1275;4
109;18900;10273;5;1;1;85;0;1598;1175;3.5
110;18900;47500;7;3;1;71;0;999;1065;4.4
111;18900;9466;5;1;1;85;0;1598;1175;3.5
112;18900;18971;7;1;1;85;0;1598;1200;3.7
113;18900;31877;7;1;1;70;0;999;1165;4.5
114;18900;9878;5;1;1;85;0;1598;1175;3.5
115;18900;17535;7;1;1;70;0;999;1180;4.6
116;18850;76264;7;3;1;92;0;1395;1115;4.9
117;18850;6695;7;1;1;70;0;999;1180;4.6
118;18850;21275;7;3;1;92;1;1395;1135;4.9
119;18850;12261;7;1;1;66;0;1422;1665;3.9
120;18840;3620;7;1;1;70;0;999;1135;4.4
121;18800;8330;5;1;1;85;1;1598;1250;3.5
122;18750;20306;7;1;1;70;0;999;1165;4.4
123;18730;1;7;0;1;85;0;999;1200;4.8
124;18700;27000;7;3;1;85;0;1598;1275;3.7
125;18690;31750;7;3;1;92;1;1395;1180;4.2
126;18600;19800;7;2;1;70;0;999;1165;4.4
127;18500;52000;7;3;1;85;0;1598;1275;4
128;18500;15500;7;1;1;70;0;999;1135;4.4
129;18620;25977;7;3;1;92;1;1395;1180;5
130;18500;9000;7;2;1;70;0;999;1135;4.4
131;18500;65000;7;2;1;66;0;1422;1250;3.8
132;18500;14493;7;1;1;85;0;1598;1275;4
133;18500;33500;7;2;1;92;0;1395;1215;4.9
134;18333;4800;7;1;1;70;1;999;1165;4.4
135;18350;51000;7;3;1;70;0;999;1040;4.4
136;18349;7307;7;2;1;70;1;999;1165;4.4
137;18333;4800;7;1;1;70;1;999;1165;4.4
138;18333;5500;7;1;1;70;1;999;1165;4.4
139;18300;35500;7;1;1;66;0;1422;1220;4
140;18300;18000;7;2;2;92;0;1395;1135;4.9
141;18290;40000;7;2;2;92;0;1395;1660;4.2
142;18250;14551;7;1;1;85;0;1598;1135;4
143;18200;16500;6;1;1;85;0;999;1135;4.2
144;18185;26700;7;3;1;85;1;1598;1180;3.8
145;18150;8000;7;2;2;70;0;999;1165;4.4
146;18000;15000;6;1;1;85;0;1598;1225;3.8
147;17998;14436;7;2;2;92;1;1395;1180;5.2
148;17998;72624;7;3;2;92;1;1395;1180;5.2
149;17990;13960;7;3;1;66;1;1422;1195;3.9
150;17990;40301;7;3;1;92;1;1395;1135;5.2
151;17990;19990;7;2;2;71;0;999;1135;4.2
152;17990;3087;7;1;1;70;0;999;1180;4.4
153;17989;37626;7;3;1;66;0;1422;1195;4.1
154;17980;22980;7;2;1;70;1;999;1135;4.4
155;17980;57926;7;3;1;66;1;1422;1180;3.8
156;17970;3900;7;2;2;92;0;1395;1215;4.9
157;17980;7924;7;3;1;92;1;1395;1135;4.9
158;17970;6257;7;2;1;85;0;1598;1250;4
159;17950;29800;7;3;1;85;0;1598;1200;3.7
160;17950;35816;7;3;1;70;0;999;1065;4.4
161;17950;12960;7;1;1;92;1;1395;1135;4.9
162;17950;8600;7;1;1;70;1;999;1165;4.4
163;17950;14300;7;2;2;70;0;999;1090;4.2
164;17944;9463;7;1;1;70;1;999;1165;4.4
165;17940;20326;7;3;1;92;1;1395;1180;4.9
166;17950;70000;7;3;2;70;0;999;1180;4.4
167;17500;23664;7;1;2;66;0;1422;1135;4.2
168;17500;51900;7;3;1;66;1;1422;1195;3.8
169;17500;15000;7;2;2;70;0;999;1165;4.4
170;17500;33000;7;3;1;92;0;1395;1215;4.9
171;17450;12000;7;3;1;66;0;1422;1217;3.8
172;17500;42000;7;2;2;66;0;1422;1220;3.8
173;17930;25976;7;2;1;85;0;1598;1275;4
174;17500;26299;5;2;1;70;0;999;1135;4.2
175;17495;40000;7;2;2;70;0;999;1135;4.4
176;17490;36530;7;2;1;66;0;1422;1220;3.8
177;17490;29159;7;2;1;67;0;1422;1135;4.2
178;17490;55000;7;3;2;141;0;1798;1255;5.8
179;17449;40133;7;3;1;70;1;999;1165;4.4
180;17445;38562;7;2;2;92;1;1395;1215;4.9
181;17444;7300;7;1;1;70;1;999;1165;4.4
182;17440;10457;7;2;2;92;0;1395;1215;4.9
183;17420;27058;7;3;1;70;1;999;1180;4.4
184;17450;38344;7;3;1;70;1;999;1180;4.4
185;17445;45276;7;3;1;110;1;1395;1135;4.7
186;17370;16607;7;1;1;70;1;999;1180;4.4
187;17350;26462;7;3;1;70;1;999;1180;4.4
188;17900;62000;7;2;1;66;0;1422;1195;3.8
189;17930;40257;7;2;1;85;1;1598;1250;3.8
190;17920;36709;7;3;1;85;1;1598;1180;3.8
191;17900;25330;7;2;1;70;0;999;1610;4.5
192;17900;11300;7;3;1;66;0;999;1180;4.4
193;17900;10170;7;1;1;70;1;999;1180;4.6
194;17900;12260;7;1;1;85;0;1598;1275;4
195;17900;44604;7;3;1;70;0;999;1180;4.2
196;17900;25751;7;2;1;71;0;999;1135;4.2
197;17900;13000;7;2;1;70;0;999;1165;4.4
198;17900;63136;7;3;1;70;0;999;1135;4.4
199;17900;21900;7;2;1;85;0;1598;1175;4.2
200;17900;23357;7;3;1;70;0;999;1580;4.4
201;17900;40000;7;3;2;110;0;1395;1180;5
202;17900;63136;7;3;2;70;0;999;1135;4.4
203;17890;27950;7;3;1;92;1;1395;1180;4.9
204;16900;3150;7;3;1;70;0;999;1165;4.4
205;17900;4810;7;1;1;70;1;999;1180;4.6
206;16900;32700;7;2;1;66;0;1422;1135;4
207;16900;67790;7;3;2;66;0;1422;1165;4
208;17890;63500;7;2;2;85;1;1598;1135;3.8
209;17900;37702;7;2;2;93;0;1395;1135;4.2
210;17900;40164;7;2;1;66;0;1422;1220;3.8
211;16900;47750;7;3;2;71;0;999;1135;4.2
212;16890;39600;7;3;1;92;1;1395;1180;5.2
213;16890;29200;7;3;1;70;1;999;1135;4.4
214;16880;32103;7;3;1;70;1;999;1135;4.4
215;16880;19700;7;2;1;70;0;999;1180;4.4
216;16880;6680;8;2;1;70;1;999;1180;4.4
217;16880;49100;6;3;1;92;1;1395;1155;5.1
218;16879;30348;7;3;1;92;1;1395;1215;5.2
219;16870;7680;7;2;1;66;0;1422;1195;4.1
220;16850;36400;7;3;1;66;1;1422;1195;4
221;16840;49800;7;3;2;92;0;1395;1135;4.9
222;16830;50200;7;3;1;92;0;1395;1180;4.9
223;16876;47500;7;3;1;92;1;1395;1215;4.9
224;16820;24762;7;2;1;70;1;999;1180;4.4
225;16800;36236;5;3;1;70;0;999;1135;5.1
226;16790;38831;7;3;1;92;0;1395;1180;5.2
227;16780;18556;7;2;1;66;0;1422;1220;3.7
228;16530;36625;7;3;1;85;0;1598;1180;4
229;16500;25000;7;3;1;92;0;1395;1660;4.9
230;16500;36041;7;2;1;85;0;1598;1275;4
231;16500;36500;7;3;1;85;0;1598;1275;3.7
232;16500;25000;7;3;1;92;0;1395;1660;4.9
233;16500;66000;7;3;1;85;0;1598;1275;3.7
234;16490;90000;7;3;1;67;0;1422;1135;4.2
235;16490;14000;7;3;1;70;1;999;1135;4.4
236;16490;16081;7;3;1;70;1;999;1135;4.4
237;16480;32863;6;3;1;92;1;1395;1135;4.2
238;16480;54889;7;3;1;70;1;999;1135;4.4
239;16450;18392;7;3;1;70;1;999;1165;4.4
240;16480;40800;7;3;1;92;1;1395;1180;4.9
241;16480;60490;7;3;1;66;0;1422;1195;4.1
242;16444;33142;7;3;2;70;1;999;1180;4.4
243;16430;40500;6;3;2;92;1;1395;1155;5.1
244;16443;13819;7;3;1;92;0;1395;1180;4.9
245;17300;18800;7;3;1;66;0;1422;1220;3.8
246;17240;40550;7;3;1;92;1;1395;1135;4.9
247;17150;25000;7;3;1;70;0;999;1140;4.4
248;17000;46000;7;2;1;85;0;1598;1135;3.7
249;16999;31987;7;2;1;85;0;1598;1180;4
250;16999;52800;7;3;1;110;1;1395;1230;4.7
251;16995;57178;7;3;1;67;0;1422;1135;4.2
252;16990;36500;7;2;2;85;0;1598;1275;4
253;16990;14000;7;2;2;70;0;999;1157;4.4
254;16980;59500;7;3;1;92;0;1395;1180;5.1
255;16970;26861;7;3;1;85;0;1598;1275;3.9
256;16950;13200;7;1;1;70;1;999;1165;4.4
257;16975;19177;7;2;2;70;1;999;1180;4.4
258;16950;19044;7;2;1;70;0;999;1180;4.6
259;16930;40500;7;3;1;70;1;999;1180;4.4
260;16900;33000;7;2;2;66;0;1422;1220;4
261;16900;21000;7;2;2;66;0;1422;1180;3.8
262;16900;58033;7;3;1;85;0;1598;1135;3.7
263;16900;32000;7;2;2;85;0;1598;1200;3.7
264;17890;12500;7;3;1;70;1;999;1135;4.5
265;17890;36530;7;2;1;66;0;1422;1135;3.8
266;17880;5991;7;1;1;70;0;999;1135;4.4
267;17880;33306;7;2;1;70;1;999;1140;4.4
268;17850;52896;7;3;2;92;1;1395;1180;4.9
269;17750;32000;7;2;1;85;0;1598;1275;4
270;17820;9998;7;2;1;92;1;1395;1180;4.9
271;17790;49198;7;3;2;67;0;1422;1135;4.2
272;17777;28600;7;2;1;66;0;1422;1135;3.8
273;17820;59000;7;2;1;92;0;1395;1135;5
274;17770;10300;7;1;1;70;0;999;1135;4.4
275;17700;24550;7;2;1;70;0;999;1610;4.4
276;17700;26000;7;3;2;85;0;1596;1135;3.6
277;17700;40800;7;3;2;70;0;999;1090;4.4
278;17700;24550;7;2;1;70;0;999;1165;4.4
279;17660;7701;7;1;1;70;0;999;1165;4.4
280;17650;19500;7;2;2;92;0;1395;1215;4.9
281;17650;45605;7;2;1;66;0;1422;1220;3.8
282;17530;45200;7;3;1;92;1;1395;1135;4.9
283;17500;22500;5;2;2;70;0;999;1135;4.2
284;15420;44585;7;3;1;85;0;1598;1180;3.8
285;15250;32750;7;3;1;70;1;999;1135;4.4
286;15250;61980;7;3;1;66;1;1422;1165;3.8
287;15190;37500;7;2;1;70;0;999;1135;4.2
288;15090;63668;7;3;1;85;0;1598;1135;3.5
289;15200;49600;5;3;1;66;0;1422;1205;3.9
290;15180;76275;7;3;1;85;0;1598;1225;4
291;15380;46900;7;3;1;85;1;1598;1135;4
292;15090;63668;7;3;1;85;0;1598;1135;3.5
293;15090;63668;7;3;1;85;0;1598;1135;3.5
294;15090;63668;7;3;1;85;0;1598;1135;3.5
295;15090;63668;7;3;1;85;0;1598;1135;3.5
296;15090;63668;7;3;1;85;0;1598;1135;3.5
297;15090;63668;7;3;1;85;0;1598;1135;3.5
298;15090;63668;7;3;1;85;0;1598;1135;3.5
299;15090;63668;7;3;1;85;0;1598;1135;3.5
300;14250;10000;7;3;1;70;0;999;1165;4.4
301;15090;63668;7;3;1;85;0;1598;1135;3.5
302;14450;49466;7;3;1;66;1;1422;1135;4.1
303;15090;63668;7;3;1;85;0;1598;1135;3.5
304;14470;48800;7;3;2;70;1;999;1180;4.6
305;14350;94300;7;3;1;85;1;1598;1135;3.8
306;14210;18600;7;3;1;70;1;999;1110;4.4
307;14300;67278;7;3;1;66;0;1422;1120;3.6
308;13892;69850;7;3;1;66;1;1422;1135;3.8
309;13990;46000;7;3;1;85;1;1598;1792;4
310;13950;10000;7;3;1;70;0;999;1065;4.4
311;13900;108000;7;3;1;66;0;1422;1250;3.8
312;15090;63668;7;3;1;85;0;1598;1135;3.5
313;15090;63668;7;3;1;85;0;1598;1135;3.5
314;15090;63668;7;3;1;85;0;1598;1135;3.5
315;15090;63668;7;3;1;85;0;1598;1135;3.5
316;15090;63668;7;3;1;85;0;1598;1135;3.5
317;15090;63668;7;3;1;85;0;1598;1135;3.5
318;15090;63668;7;3;1;85;0;1598;1135;3.5
319;15090;63668;7;3;1;85;0;1598;1135;3.5
320;15090;63668;7;3;1;85;0;1598;1135;3.5
321;15090;63668;7;3;1;85;0;1598;1135;3.5
322;15090;63668;7;3;1;85;0;1598;1135;3.5
323;15090;63668;7;3;1;85;0;1598;1135;3.5
324;14990;35367;7;3;1;70;1;999;1180;4.4
325;15090;63668;7;3;1;85;0;1598;1135;3.5
326;15090;63668;7;3;1;85;0;1598;1135;3.5
327;15090;63668;7;3;1;85;0;1598;1135;3.5
328;15000;78000;7;2;1;85;0;1598;1275;3.9
329;14998;137066;7;3;1;85;1;1598;1180;4
330;14990;34000;7;3;1;85;1;1598;1275;4.1
331;14990;9600;7;2;1;70;0;999;1180;4.6
332;13880;88800;7;3;1;66;0;1422;1180;3.8
333;13500;59150;7;3;1;66;0;1422;1205;3.4
334;13480;110375;7;3;1;66;0;1422;1135;3.8
335;13450;26310;7;1;1;70;0;999;1165;4.4
336;13250;65000;7;3;2;70;1;999;1110;4.4
337;14990;49351;7;3;2;66;0;1422;1180;4
338;14990;49351;7;3;2;66;0;1422;1180;4
339;13599;58380;7;3;1;66;1;1422;1135;3.8
340;14990;49351;7;3;2;66;0;1422;1180;4
341;14990;49351;7;3;2;66;0;1422;1180;4
342;14990;49351;7;3;2;66;0;1422;1180;4
343;14990;49351;7;3;2;66;0;1422;1180;4
344;14990;49351;7;3;2;66;0;1422;1180;4
345;14990;49351;7;3;2;66;0;1422;1180;4
346;14990;49351;7;3;2;66;0;1422;1180;4
347;14990;49351;7;3;2;66;0;1422;1180;4
348;15700;31100;5;3;1;85;0;1598;1135;4.2
349;15680;79244;7;3;1;92;1;1395;1135;4.2
350;14990;49351;7;3;2;66;0;1422;1180;4
351;15750;58722;7;3;1;85;1;1598;1135;3.8
352;14990;49351;7;3;2;66;0;1422;1180;4
353;14990;49351;7;3;2;66;0;1422;1180;4
354;15660;11725;7;3;1;70;0;999;1635;4.4
355;15750;41600;7;3;2;85;1;1598;1135;3.8
356;11000;56000;7;3;2;85;0;1598;1275;3.9
357;14990;49351;7;3;2;66;0;1422;1180;4
358;14990;49351;7;3;2;66;0;1422;1180;4
359;14990;49351;7;3;2;66;0;1422;1180;4
360;14990;49351;7;3;2;66;0;1422;1180;4
361;14990;49351;7;3;2;66;0;1422;1180;4
362;14990;60000;7;3;2;66;0;1422;1165;3.6
363;14990;49351;7;3;2;66;0;1422;1180;4
364;14959;56967;7;3;2;70;1;999;1135;4.4
365;14959;56967;7;3;2;70;1;999;1180;4.4
366;14930;87300;7;3;1;92;1;1395;1180;4.9
367;14930;86698;7;3;2;70;1;999;1135;4.4
368;14950;70000;7;3;2;66;0;1422;1250;3.8
369;14930;87300;7;3;1;92;1;1395;1135;4.9
370;14900;115900;7;2;2;85;0;1598;1135;3.8
371;14850;25000;7;3;1;70;0;999;1180;4.6
372;14890;58718;7;3;1;85;0;1598;1180;4
373;14700;35730;7;3;1;92;1;1395;1180;5.1
374;14640;83450;7;3;1;85;0;1598;1135;3.8
375;14799;75000;7;3;1;66;0;1422;1165;3.8
376;14990;49351;7;3;2;66;0;1422;1180;4
377;14990;49351;7;3;2;66;0;1422;1180;4
378;14990;49351;7;3;2;66;0;1422;1180;4
379;14990;49351;7;3;2;66;0;1422;1180;4
380;14990;49351;7;3;2;66;0;1422;1180;4
381;16395;58525;7;3;1;70;0;999;1135;4.4
382;16250;37000;7;3;1;70;0;999;1165;4.4
383;16400;42000;7;3;1;92;0;1395;1215;4.9
384;14990;49351;7;3;2;66;0;1422;1180;4
385;16290;53000;7;3;2;85;0;1598;1180;4
386;14990;49351;7;3;2;66;0;1422;1180;4
387;16199;31235;7;3;2;70;1;999;1165;4.4
388;15998;72761;7;3;2;71;0;999;1090;4.4
389;15990;73575;7;3;2;85;0;1598;1135;4.3
390;16000;19000;7;2;1;66;0;1422;1250;4
391;16150;19068;7;2;1;70;0;999;1165;4.4
392;16000;11000;7;3;1;85;0;1598;1275;3.7
393;15993;33200;7;3;1;92;1;1395;1180;5.2
394;15990;45000;7;3;1;85;0;1598;1275;4
395;15990;42900;7;3;1;66;0;1422;1180;3.8
396;15980;52900;7;3;1;66;0;1422;1220;3.7
397;15590;40500;7;3;1;70;0;999;1180;4.4
398;15990;146140;7;3;1;85;0;1598;1275;3.7
399;15980;44300;7;3;2;85;1;1598;1135;3.8
400;15990;9300;7;1;1;70;1;999;1180;4.4
401;15980;72192;7;3;1;85;0;1598;1225;4
402;15990;46123;7;3;1;92;1;1395;1180;5.1
403;15580;18150;7;2;1;66;1;1422;1135;3.8
404;15490;42979;7;3;1;70;0;999;1135;4.4
405;15500;24000;7;3;1;66;0;999;1135;4.2
406;15490;40528;7;2;1;66;0;1422;1195;3.4
407;15500;104000;7;3;1;70;0;999;1065;4.4
408;15500;63473;7;3;1;85;0;1598;1275;4
409;15490;29950;7;3;1;110;0;1395;1205;4.7
410;15480;25320;7;3;1;92;0;1395;1155;5.1
411;15450;24030;7;2;1;66;0;1422;1180;4
412;15450;36590;7;3;1;70;1;999;1180;4.4
413;15450;34011;7;3;1;85;0;999;1135;3
414;15450;25600;7;3;1;66;0;1422;1220;4
415;15444;13776;7;3;1;70;0;999;1180;4.4
416;15960;34400;7;3;1;70;1;999;1180;4.4
417;15960;34400;7;3;1;70;1;999;1135;4.4
418;15930;66844;7;3;1;85;0;1598;1275;4
419;15900;58000;7;3;0;66;0;1598;1210;3.9
420;15900;40000;7;3;0;85;0;1598;1250;3.8
421;15900;41500;7;3;1;70;1;999;1165;4.4
422;15425;43255;7;3;1;70;1;999;1180;4.4
423;14990;49351;7;3;2;66;0;1422;1180;4
424;15889;42023;7;3;2;70;1;999;1180;4.4
425;15970;36950;7;3;1;70;1;999;1135;4.4
426;15889;106829;7;3;1;85;1;1598;1275;4
427;15880;49880;7;2;2;66;1;1422;1135;3.8
428;15850;50272;7;3;1;70;1;999;1165;4.4
429;15850;69900;7;3;1;66;1;1422;1195;4
430;15800;19582;7;3;1;70;0;999;1135;4.4
431;15790;43954;7;3;1;70;1;999;1135;4.4
432;15840;32910;7;3;1;70;0;999;1135;4.4
433;15830;23327;7;3;1;70;0;999;1165;4.6
434;15790;32814;7;3;2;70;0;999;1135;4.4
435;15789;59702;7;3;1;85;1;1598;1135;3.8
436;15784;65838;7;3;1;67;0;1422;1135;4.2
437;15780;23211;7;3;1;70;0;999;1135;4.4
438;12170;97930;5;3;1;66;1;1422;1180;3.9
439;12490;70000;5;3;1;66;1;1422;1195;3.7
440;12820;54392;5;3;1;70;0;999;1180;4.2
441;11950;73000;5;3;1;70;0;999;1135;4.2
442;12480;111380;5;3;1;85;0;1598;1135;3.7
443;12480;63350;5;3;1;70;1;999;1135;4.2
444;12480;129550;5;3;2;85;0;1598;1135;3.7
445;12900;28978;5;3;2;66;0;1422;1640;3.7
446;13420;61220;5;3;1;70;1;999;1135;4.4
447;13490;71000;5;2;2;66;0;1422;1135;3.7
448;13490;24999;5;3;1;70;0;999;1135;4.2
449;13490;46400;5;3;1;70;0;999;1110;4.2
450;12900;62400;5;3;1;66;1;1422;1135;3.7
451;13680;81600;5;3;1;66;1;1422;1135;3.7
452;13640;65500;5;3;1;60;0;999;1135;4.2
453;13650;25950;5;3;1;60;0;999;1135;4.2
454;13490;32779;5;3;1;70;1;999;1180;4.4
455;13660;75800;5;3;1;85;1;1598;1180;3.8
456;13680;23450;5;3;1;92;1;1395;1180;5.1
457;13750;63952;5;3;1;70;1;999;1135;4.2
458;13900;34000;5;3;1;60;0;999;1110;4.2
459;13900;47155;5;3;1;70;1;999;1135;4.4
460;13900;80000;5;3;1;66;0;1422;1205;3.4
461;13900;39838;6;3;1;92;0;1395;1180;5.2
462;13890;29600;5;3;1;70;0;999;1060;4.2
463;13890;30000;5;3;1;70;1;999;1180;4.4
464;13890;22223;5;2;1;60;0;999;1180;4.4
465;13890;107592;5;3;1;85;1;1598;1180;4
466;13890;125000;5;3;1;85;1;1598;1180;3.9
467;13900;20000;5;2;1;60;0;999;1135;4.2
468;13890;38900;5;3;1;85;0;1598;1175;3.5
469;13890;18371;5;2;1;67;0;1422;1195;3.7
470;13890;18371;5;2;1;67;0;1422;1195;3.7
471;13890;18371;5;2;1;67;0;1422;1195;3.7
472;13940;84708;5;3;2;66;1;1422;1135;3.7
473;13940;115000;5;3;1;85;1;1598;1135;3.7
474;13940;58011;5;3;1;66;0;1422;1180;3.7
475;13900;56989;5;3;1;66;0;1422;1195;3.7
476;13900;65000;5;3;1;70;0;999;1135;4.3
477;13900;40200;5;3;1;70;1;999;1180;4.4
478;13900;59000;5;3;1;70;0;999;1135;4.2
479;13900;24978;5;3;1;85;0;1598;1225;3.7
480;13900;10000;5;2;1;66;0;1422;1205;3.7
481;13900;100000;5;3;1;85;0;1598;1250;3.8
482;13900;44000;5;3;1;60;0;999;1110;4.2
483;13900;36040;5;3;1;70;1;999;1135;4.4
484;13900;84500;5;3;1;66;0;1422;1180;3.6
485;13900;45521;5;3;1;66;0;1422;1105;3.7
486;13900;61582;5;3;1;66;0;1422;1105;3.7
487;13900;67992;5;3;1;66;0;1422;1105;3.7
488;13900;54000;5;3;1;70;0;999;1155;4.2
489;13900;100816;5;3;1;85;0;1598;1135;3.8
490;13900;49000;5;3;1;70;0;999;1135;4.3
491;13880;69347;5;3;1;66;1;1422;1135;4.1
492;13888;80120;5;3;1;70;0;999;1180;4.4
493;13880;88483;5;3;1;66;1;1422;1205;3.7
494;13880;51400;5;3;1;70;1;999;1135;4.4
495;13880;63150;5;3;1;70;0;999;1135;4.2
496;13880;41961;5;3;1;70;0;999;1135;4.4
497;13750;63608;5;3;1;70;1;999;1135;4.2
498;13750;41515;5;3;1;66;0;1422;1105;3.7
499;13750;91500;5;3;1;66;0;1422;1205;3.9
500;13720;62400;5;3;1;66;1;1422;1180;3.7
501;13719;31255;5;3;1;70;1;999;1135;4.2
502;13700;37000;5;3;1;66;0;1422;1195;3.7
503;13710;55850;5;3;1;70;1;999;1110;4.4
504;13700;70000;5;3;2;66;0;1422;1135;4.2
505;13700;70000;5;3;2;66;0;1422;1205;3.9
506;13700;87500;5;3;2;70;0;999;1180;4.4
507;13700;62500;5;3;1;66;0;1422;1205;3.9
508;13700;77000;5;3;1;70;0;999;1135;4.2
