make_model;body_type;price;vat;km;Type;Fuel;Gears;Comfort_Convenience;Entertainment_Media;Extras;Safety_Security;age;Previous_Owners;hp_kW;Inspection_new;Paint_Type;Upholstery_type;Gearing_Type;Displacement_cc;Weight_kg;Drive_chain;cons_comb
Audi A1;Sedans;18500;VAT deductible;11300;Used;Diesel;7;Air conditioning,Multi-function steering wheel,Power windows;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB;Alloy wheels,Shift paddles;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,LED Headlights,Passenger-side airbag,Power steering,Side airbag,Traction control,Xenon headlights;1;1;85;0;Metallic;Cloth;Automatic;1598;1250;front;4
Audi A1;Sedans;17990;VAT deductible;26415;Used;Benzine;7;Air conditioning,Automatic climate control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system;CD player,Hands-free equipment,On-board computer,Radio,USB;Alloy wheels,Sport seats;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Traction control,Xenon headlights;3;1;92;1;Uni/basic;Cloth;Automatic;1395;1135;front;4.9
Audi A1;Sedans;18380;VAT deductible;31600;Used;Benzine;7;Air conditioning,Armrest,Automatic climate control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB;Alloy wheels,Catalytic Converter,Sport package,Sport seats,Sport suspension,Voice Control;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights;3;1;92;0;Metallic;Part/Full Leather;Automatic;1395;1135;front;4.9
Audi A1;Sedans;18399;VAT deductible;45764;Used;Benzine;7;Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Power windows,Rain sensor,Split rear seats;Bluetooth,On-board computer,Radio;Alloy wheels,Sport seats,Sport suspension;ABS,Adaptive headlights,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Side airbag,Traction control,Xenon headlights;3;1;112;0;Metallic;Part/Full Leather;Automatic;1395;1135;front;4.2
Audi A1;Sedans;17990;VAT deductible;34914;Used;Benzine;7;Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system;Bluetooth,CD player,Hands-free equipment,On-board computer,Radio;Alloy wheels,Sport seats,Sport suspension;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights;3;1;70;0;Metallic;Cloth;Automatic;999;1135;front;4.2
Audi A1;Sedans;18700;VAT deductible;27000;Employee's car;Diesel;7;Air conditioning,Armrest,Cruise control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB;Alloy wheels;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Traction control;3;1;85;0;Metallic;Cloth;Automatic;1598;1275;front;3.7
Audi A1;Sedans;18900;VAT deductible;9752;Used;Diesel;5;Air conditioning,Leather steering wheel,Power windows;CD player,MP3,Radio;Alloy wheels,Sport package,Sport seats;Central door lock,Driver-side airbag,Electronic stability control,Isofix,Passenger-side airbag,Power steering,Side airbag,Traction control;1;1;85;0;Metallic;Cloth;Automatic;1598;1175;front;3.5
Audi A1;Sedans;18500;VAT deductible;28408;Used;Diesel;7;Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio;Alloy wheels,Sport package;ABS,Alarm system,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Head airbag,Isofix,Passenger-side airbag,Power steering,Side airbag;2;1;66;0;Metallic;Cloth;Automatic;1422;1220;front;3.8
Audi A1;Compact;18400;VAT deductible;50280;Used;Benzine;7;Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Power windows,Rain sensor;Bluetooth,CD player,Hands-free equipment,On-board computer,Radio;Alloy wheels;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Tire pressure monitoring system,Xenon headlights;3;1;70;0;Metallic;Cloth;Automatic;999;1065;front;4.5
Audi A1;Sedans;18500;VAT deductible;13406;Used;Diesel;7;Air conditioning,Armrest,Auxiliary heating,Electrically heated windshield,Electrical side mirrors,Hill Holder,Leather steering wheel,Multi-function steering wheel,Navigation system,Power windows,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio;Alloy wheels,Catalytic Converter,Shift paddles,Voice Control;Alarm system,Central door lock,Daytime running lights,Driver-side airbag,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights;1;1;85;0;Metallic;Cloth;Automatic;1598;1135;front;3.8
Audi A1;Sedans;18500;Price negotiable;51160;Used;Diesel;7;Air conditioning,Armrest,Leather steering wheel,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system,Tinted windows;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,Sound system,USB;Alloy wheels,Shift paddles,Sport package,Voice Control;ABS,Adaptive headlights,Central door lock,Central door lock with remote control,Daytime running lights,Driver drowsiness detection,Driver-side airbag,Electronic stability control,Fog lights,Head airbag,Immobilizer,Isofix,LED Daytime Running Lights,LED Headlights,Passenger-side airbag,Power steering,Rear airbag,Side airbag,Tire pressure monitoring system,Traction control;2;1;85;0;Metallic;Cloth;Automatic;1598;1275;front;4
Audi A1;Sedans;18500;VAT deductible;15850;Used;Benzine;7;Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB;Alloy wheels,Sport seats,Voice Control;ABS,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights;3;1;92;1;Metallic;Cloth;Automatic;1395;1180;front;4.9
Audi A1;Sedans;18900;Price negotiable;17000;Used;Benzine;7;Air conditioning,Armrest,Automatic climate control,Electrical side mirrors,Keyless central door lock,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,Sound system,USB;Alloy wheels,Catalytic Converter,Sport seats,Voice Control,Winter tyres;ABS,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Head airbag,Immobilizer,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights;3;1;92;0;Metallic;Cloth;Automatic;1395;1190;front;4.9
Audi A1;Sedans;18850;VAT deductible;9077;Used;Diesel;7;Air conditioning,Automatic climate control,Power windows;Radio;Alloy wheels;ABS,Central door lock,Driver-side airbag,Electronic stability control,Immobilizer,Passenger-side airbag,Power steering,Side airbag,Traction control;1;1;85;0;Metallic;Part/Full Leather;Automatic;1598;1630;front;3.7
Audi A1;Sedans;18500;VAT deductible;3000;Used;Benzine;7;Air conditioning,Armrest,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Power windows,Seat heating,Seat ventilation,Split rear seats,Start-stop system,Wind deflector;Bluetooth,CD player,Digital radio,Hands-free equipment,MP3,On-board computer,Radio,USB;Alloy wheels,Voice Control;ABS,Alarm system,Central door lock,Central door lock with remote control,Driver-side airbag,Electronic stability control,Emergency system,Fog lights,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Rear airbag,Side airbag,Tire pressure monitoring system,Traction control;1;1;70;0;Metallic;Cloth;Automatic;999;1165;front;4.4
Audi A1;Sedans;8999;VAT deductible;115000;Used;Benzine;5;Air conditioning,Electrical side mirrors,Leather steering wheel,Lumbar support,Power windows;Radio,Sound system;Alloy wheels,Winter tyres;ABS,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;1;70;0;Metallic;Cloth;Manual;999;1135;front;4.2
Audi A1;Compact;11444;VAT deductible;84029;Used;Benzine;5;Air conditioning,Automatic climate control,Electrical side mirrors,Hill Holder,Keyless central door lock,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB;Alloy wheels,Voice Control;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;1;70;1;Metallic;Cloth;Manual;999;1180;front;4.2
Audi A1;Sedans;11300;VAT deductible;67800;Used;Benzine;5;Air conditioning,Electrical side mirrors,Leather steering wheel,Power windows,Start-stop system;Radio;Alloy wheels;ABS,Central door lock,Central door lock with remote control,Daytime running lights,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights;3;1;70;0;Metallic;Cloth;Manual;999;1135;front;4.2
Audi A1;Sedans;18900;VAT deductible;14556;Used;Diesel;7;Air conditioning,Automatic climate control;Radio;Alloy wheels;ABS,Driver-side airbag,Fog lights,Power steering,Traction control;1;1;66;0;Uni/basic;Cloth;Automatic;1422;1135;front;4.3
Audi A1;Compact;11290;VAT deductible;22000;Used;Benzine;5;Air conditioning,Electrical side mirrors,Power windows,Rain sensor,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB;Alloy wheels;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system;3;1;70;0;Metallic;Cloth;Manual;999;1180;front;4.4
Audi A1;Compact;11290;VAT deductible;38400;Used;Diesel;5;Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB;Alloy wheels;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;1;66;0;Metallic;Cloth;Manual;1422;1195;front;3
Audi A1;Sedans;11440;VAT deductible;83307;Used;Diesel;5;Air conditioning,Automatic climate control,Electrical side mirrors,Light sensor,Multi-function steering wheel,Navigation system,Power windows,Rain sensor,Start-stop system;Bluetooth,CD player,MP3,On-board computer,Radio,USB;Alloy wheels,Catalytic Converter;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights;3;1;66;0;Uni/basic;Cloth;Manual;1422;1195;front;3.6
Audi A1;Compact;11445;VAT deductible;39668;Used;Benzine;5;Air conditioning,Armrest,Electrical side mirrors,Power windows,Start-stop system;CD player,MP3,Radio;Alloy wheels,Catalytic Converter;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;1;70;1;Metallic;Cloth;Manual;999;1180;front;4.4
Audi A1;Sedans;11700;VAT deductible;30353;Used;Diesel;5;Air conditioning,Electrical side mirrors,Heads-up display,Leather steering wheel,Power windows,Start-stop system,Tinted windows;On-board computer,Radio;Catalytic Converter;ABS,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;1;66;0;Metallic;Cloth;Manual;1422;1195;front;3.7
Audi A1;Sedans;11900;VAT deductible;126000;Used;Diesel;5;Air conditioning,Automatic climate control,Cruise control,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Parking assist system sensors rear,Rain sensor,Seat ventilation,Split rear seats,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB;Alloy wheels;ABS,Alarm system,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Passenger-side airbag,Power steering,Rear airbag,Side airbag,Tire pressure monitoring system,Traction control;3;1;66;0;Metallic;Cloth;Manual;1422;1205;front;3.7
Audi A1;Compact;11949;VAT deductible;57500;Used;Benzine;5;Air conditioning,Electrical side mirrors,Power windows,Seat heating,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio;Catalytic Converter;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;1;70;1;Metallic;Cloth;Manual;999;1180;front;4.4
Audi A1;Sedans;11890;VAT deductible;73945;Used;Benzine;5;Air conditioning,Armrest,Cruise control,Electrical side mirrors,Hill Holder,Power windows,Seat heating,Start-stop system;CD player,MP3,Radio;Alloy wheels;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;1;70;1;Metallic;Cloth;Manual;999;1110;front;4.4
Audi A1;Sedans;11600;VAT deductible;96000;Used;Diesel;5;Air conditioning,Electrical side mirrors,Leather steering wheel,Power windows,Start-stop system,Tinted windows;Radio;Alloy wheels;ABS,Central door lock,Central door lock with remote control,Daytime running lights,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;2;1;66;0;Metallic;Cloth;Manual;1422;1195;front;3.7
Audi A1;Sedans;11900;Price negotiable;43120;Used;Benzine;5;Leather steering wheel,Lumbar support,Power windows,Start-stop system;Radio;Alloy wheels,Sport seats,Sport suspension;ABS,Central door lock with remote control,Daytime running lights,Driver-side airbag,Fog lights,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;2;60;0;Metallic;Cloth;Manual;999;1110;front;4.2
Audi A1;Compact;11630;VAT deductible;110715;Used;Diesel;5;Air conditioning,Automatic climate control,Cruise control,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio;Alloy wheels,Sport suspension;ABS,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Side airbag,Traction control;3;1;66;0;Metallic;Cloth;Manual;1422;1180;front;4.4
Audi A1;Compact;11880;VAT deductible;31971;Used;Benzine;5;Air conditioning,Armrest,Cruise control,Electrical side mirrors,Power windows,Start-stop system;CD player,MP3,Radio,Sound system,USB;Catalytic Converter;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;1;60;1;Metallic;Cloth;Manual;999;1110;front;4.4
Audi A1;Compact;11800;VAT deductible;94800;Used;Diesel;5;Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system;Bluetooth,CD player,Hands-free equipment,On-board computer,Radio;Alloy wheels;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;1;66;1;Metallic;Cloth;Manual;1422;1180;front;3.4
Audi A1;Compact;11850;VAT deductible;85000;Used;Diesel;5;Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system;Bluetooth,CD player,Hands-free equipment,On-board computer,Radio;Alloy wheels;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;1;66;1;Metallic;Cloth;Manual;1422;1180;front;3.4
Audi A1;Compact;11569;VAT deductible;111265;Used;Diesel;5;Air conditioning,Automatic climate control,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio;Alloy wheels;ABS,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Side airbag,Traction control;3;1;66;0;Metallic;Cloth;Manual;1422;1180;front;4.4
Audi A1;Sedans;11490;VAT deductible;44120;Used;Diesel;5;Air conditioning,Cruise control,Electrical side mirrors,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Start-stop system;Bluetooth,Hands-free equipment,MP3,On-board computer,Radio;Alloy wheels;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;1;66;0;Metallic;Cloth;Manual;1422;1135;front;3.6
Audi A1;Sedans;11490;VAT deductible;97976;Used;Benzine;5;Air conditioning,Automatic climate control,Electrical side mirrors,Light sensor,Multi-function steering wheel,Power windows,Rain sensor,Start-stop system;Bluetooth,CD player,Hands-free equipment,On-board computer,Radio;Alloy wheels,Voice Control;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;1;70;0;Metallic;Cloth;Manual;999;1110;front;4.2
Audi A1;Sedans;11500;VAT deductible;106000;Used;Diesel;5;Air conditioning,Automatic climate control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Split rear seats,Start-stop system;CD player,MP3,On-board computer,Radio;Alloy wheels;ABS,Alarm system,Central door lock with remote control,Driver-side airbag,Electronic stability control,Head airbag,Isofix,Passenger-side airbag,Power steering,Side airbag;3;1;66;0;Metallic;Cloth;Manual;1422;1195;front;3.7
Audi A1;Sedans;11790;VAT deductible;60000;Used;Diesel;5;Air conditioning,Electrical side mirrors,Leather steering wheel,Power windows,Start-stop system;Radio;Alloy wheels;ABS,Central door lock,Central door lock with remote control,Daytime running lights,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;0;85;0;Metallic;Cloth;Manual;1598;1250;front;3.7
Audi A1;Compact;11490;VAT deductible;58000;Used;Benzine;5;Air conditioning,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system;Bluetooth,CD player;Alloy wheels,Sport seats,Sport suspension;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag;3;2;60;1;Metallic;Part/Full Leather;Manual;999;1180;front;4.4
