price;km;Fuel;Gears;age;Previous_Owners;hp_kW;Inspection_new;Displacement_cc;Weight_kg;cons_comb
11850;85000;Diesel;5;3;1;66;1;1422;1180;3.4
11569;111265;Diesel;5;3;1;66;0;1422;1180;4.4
11490;44120;Diesel;5;3;1;66;0;1422;1135;3.6
11490;97976;Benzine;5;3;1;70;0;999;1110;4.2
11500;106000;Diesel;5;3;1;66;0;1422;1195;3.7
11790;60000;Diesel;5;3;0;85;0;1598;1250;3.7
11490;58000;Benzine;5;3;2;60;1;999;1180;4.4
11470;57454;Benzine;5;3;1;60;1;999;1675;4.4
11480;94055;Diesel;5;3;1;66;0;1422;1180;4.4
11180;56000;Benzine;5;3;1;70;0;999;1135;4.2
11450;27600;Benzine;5;3;1;70;0;999;1135;4.2
11100;111670;Diesel;5;3;1;85;0;1598;1250;3
10900;30500;Diesel;5;3;1;66;0;1422;1180;3.8
10999;69500;Benzine;5;2;1;70;0;999;1180;4.4
10900;43500;Benzine;5;3;1;60;0;999;1180;4.2
10950;45696;Benzine;5;3;1;70;0;999;1135;4.4
10800;34000;Diesel;5;3;2;66;0;1422;1165;3.8
10600;55000;Benzine;5;3;2;70;0;999;1110;4.2
10800;99000;Diesel;5;3;1;66;0;1422;1205;3.7
9950;118500;Benzine;5;3;1;70;1;999;1110;4.4
10300;85000;Benzine;5;3;1;70;0;999;1135;4.2
10000;192000;Diesel;5;3;1;85;1;1598;1250;3.9
10490;130000;Diesel;5;3;1;66;1;1422;1180;3.9
18900;41294;Benzine;7;3;1;71;0;999;1065;4.4
18900;64000;Diesel;7;2;1;85;0;1598;1720;4.2
18900;13135;Benzine;7;1;1;70;0;999;1625;4.2
18900;4250;Benzine;7;2;1;70;0;999;1135;4.4
18890;2949;Benzine;7;1;1;70;0;999;1135;4.4
18890;17861;Benzine;7;2;1;71;0;999;1135;4.2
18890;22800;Benzine;7;2;1;92;0;1395;1180;5.1
18880;5108;Benzine;7;2;1;70;1;999;1165;4.4
18880;11335;Benzine;7;1;1;70;1;999;1135;4.4
18880;6396;Benzine;7;1;1;70;0;999;1135;4.4
18880;47800;Diesel;7;3;1;85;1;1598;1180;3.8
18880;7021;Benzine;7;1;1;70;0;929;1180;4.4
18880;30952;Benzine;7;3;1;92;0;1395;1180;5.2
18880;33991;Benzine;7;3;1;92;1;1395;1135;5.2
18870;35800;Diesel;7;2;1;66;1;1422;1135;3.8
18850;7672;Diesel;7;1;1;85;0;1598;1630;3.7
18870;8430;Benzine;7;1;1;70;1;999;1180;4.6
18497;40488;Diesel;5;3;1;85;1;1598;1250;4
18490;24200;Diesel;7;2;2;66;0;1422;1195;4.1
18490;26500;Diesel;7;2;2;66;1;1422;1180;4
18490;58806;Benzine;7;3;1;71;0;999;1065;4.4
18500;39000;Diesel;7;3;1;85;0;1598;1250;3.8
18490;16700;Benzine;7;2;1;92;0;1395;1215;5.1
18490;41900;Benzine;7;3;1;92;0;1395;1135;5.1
18480;15093;Benzine;7;3;1;92;0;1395;1180;4.9
18480;5211;Diesel;7;1;1;66;0;1422;1135;4
18470;12000;Benzine;7;1;2;70;1;999;1180;4.6
18444;50066;Benzine;7;3;1;92;0;1395;1180;4.9
18400;51484;Benzine;7;2;1;71;0;999;1065;4.4
18400;14770;Diesel;7;1;2;85;0;1598;1135;3.8
18900;12415;Diesel;7;1;2;85;0;1598;1275;4
18900;26064;Diesel;7;1;2;85;0;1598;1275;4
18900;16500;Diesel;7;1;1;85;0;1598;1275;4
18900;9000;Benzine;7;3;1;92;0;1395;1215;4.9
18900;12402;Diesel;7;1;1;85;0;1598;1275;4
18900;14702;Diesel;7;1;1;85;0;1598;1275;4
18900;14523;Diesel;7;1;1;85;0;1598;1275;4
18900;9082;Diesel;7;1;1;85;0;1598;1275;4
18900;9580;Diesel;5;1;1;85;0;1598;1175;3.5
18900;10013;Diesel;5;1;1;85;0;1598;1175;3.5
18900;10450;Diesel;5;1;1;85;0;1598;1175;3.5
18900;14878;Diesel;7;1;1;85;0;1598;1275;4
18900;10273;Diesel;5;1;1;85;0;1598;1175;3.5
18900;47500;Benzine;7;3;1;71;0;999;1065;4.4
18900;9466;Diesel;5;1;1;85;0;1598;1175;3.5
18900;18971;Diesel;7;1;1;85;0;1598;1200;3.7
18900;31877;Benzine;7;1;1;70;0;999;1165;4.5
18900;9878;Diesel;5;1;1;85;0;1598;1175;3.5
18900;17535;Benzine;7;1;1;70;0;999;1180;4.6
18850;76264;Benzine;7;3;1;92;0;1395;1115;4.9
18850;6695;Benzine;7;1;1;70;0;999;1180;4.6
18850;21275;Benzine;7;3;1;92;1;1395;1135;4.9
18850;12261;Diesel;7;1;1;66;0;1422;1665;3.9
18840;3620;Benzine;7;1;1;70;0;999;1135;4.4
18800;8330;Diesel;5;1;1;85;1;1598;1250;3.5
18750;20306;Benzine;7;1;1;70;0;999;1165;4.4
18730;1;Benzine;7;0;1;85;0;999;1200;4.8
18690;31750;Benzine;7;3;1;92;1;1395;1180;4.2
18600;19800;Benzine;7;2;1;70;0;999;1165;4.4
18500;52000;Diesel;7;3;1;85;0;1598;1275;4
18500;15500;Benzine;7;1;1;70;0;999;1135;4.4
18620;25977;Benzine;7;3;1;92;1;1395;1180;5
18500;9000;Benzine;7;2;1;70;0;999;1135;4.4
18500;65000;Diesel;7;2;1;66;0;1422;1250;3.8
18500;14493;Diesel;7;1;1;85;0;1598;1275;4
18500;33500;Benzine;7;2;1;92;0;1395;1215;4.9
18333;4800;Benzine;7;1;1;70;1;999;1165;4.4
18350;51000;Benzine;7;3;1;70;0;999;1040;4.4
18349;7307;Benzine;7;2;1;70;1;999;1165;4.4
18333;5500;Benzine;7;1;1;70;1;999;1165;4.4
18300;35500;Diesel;7;1;1;66;0;1422;1220;4
18300;18000;Benzine;7;2;2;92;0;1395;1135;4.9
18290;40000;Benzine;7;2;2;92;0;1395;1660;4.2
18250;14551;Diesel;7;1;1;85;0;1598;1135;4
18200;16500;Diesel;6;1;1;85;0;999;1135;4.2
18185;26700;Diesel;7;3;1;85;1;1598;1180;3.8
18150;8000;Benzine;7;2;2;70;0;999;1165;4.4
18000;15000;Diesel;6;1;1;85;0;1598;1225;3.8
17998;14436;Benzine;7;2;2;92;1;1395;1180;5.2
17998;72624;Benzine;7;3;2;92;1;1395;1180;5.2
17990;13960;Diesel;7;3;1;66;1;1422;1195;3.9
17990;40301;Benzine;7;3;1;92;1;1395;1135;5.2
17990;19990;Benzine;7;2;2;71;0;999;1135;4.2
17990;3087;Benzine;7;1;1;70;0;999;1180;4.4
17989;37626;Diesel;7;3;1;66;0;1422;1195;4.1
17980;22980;Benzine;7;2;1;70;1;999;1135;4.4
17980;57926;Diesel;7;3;1;66;1;1422;1180;3.8
17970;3900;Benzine;7;2;2;92;0;1395;1215;4.9
17980;7924;Benzine;7;3;1;92;1;1395;1135;4.9
17970;6257;Diesel;7;2;1;85;0;1598;1250;4
17950;29800;Diesel;7;3;1;85;0;1598;1200;3.7
17950;35816;Benzine;7;3;1;70;0;999;1065;4.4
17950;12960;Benzine;7;1;1;92;1;1395;1135;4.9
17950;8600;Benzine;7;1;1;70;1;999;1165;4.4
17950;14300;Diesel;7;2;2;70;0;999;1090;4.2
17944;9463;Benzine;7;1;1;70;1;999;1165;4.4
17940;20326;Benzine;7;3;1;92;1;1395;1180;4.9
17950;70000;Benzine;7;3;2;70;0;999;1180;4.4
17500;23664;Diesel;7;1;2;66;0;1422;1135;4.2
17500;51900;Diesel;7;3;1;66;1;1422;1195;3.8
17500;15000;Benzine;7;2;2;70;0;999;1165;4.4
17500;33000;Benzine;7;3;1;92;0;1395;1215;4.9
17450;12000;Diesel;7;3;1;66;0;1422;1217;3.8
17500;42000;Diesel;7;2;2;66;0;1422;1220;3.8
17930;25976;Diesel;7;2;1;85;0;1598;1275;4
17500;26299;Benzine;5;2;1;70;0;999;1135;4.2
17495;40000;Benzine;7;2;2;70;0;999;1135;4.4
17490;36530;Diesel;7;2;1;66;0;1422;1220;3.8
17490;29159;Diesel;7;2;1;67;0;1422;1135;4.2
17490;55000;Benzine;7;3;2;141;0;1798;1255;5.8
17449;40133;Benzine;7;3;1;70;1;999;1165;4.4
17445;38562;Benzine;7;2;2;92;1;1395;1215;4.9
17444;7300;Benzine;7;1;1;70;1;999;1165;4.4
17440;10457;Benzine;7;2;2;92;0;1395;1215;4.9
17420;27058;Benzine;7;3;1;70;1;999;1180;4.4
17450;38344;Benzine;7;3;1;70;1;999;1180;4.4
17445;45276;Benzine;7;3;1;110;1;1395;1135;4.7
17370;16607;Benzine;7;1;1;70;1;999;1180;4.4
17350;26462;Benzine;7;3;1;70;1;999;1180;4.4
17900;62000;Diesel;7;2;1;66;0;1422;1195;3.8
17930;40257;Diesel;7;2;1;85;1;1598;1250;3.8
17920;36709;Diesel;7;3;1;85;1;1598;1180;3.8
17900;25330;Benzine;7;2;1;70;0;999;1610;4.5
17900;11300;Diesel;7;3;1;66;0;999;1180;4.4
17900;10170;Benzine;7;1;1;70;1;999;1180;4.6
17900;12260;Diesel;7;1;1;85;0;1598;1275;4
17900;44604;Benzine;7;3;1;70;0;999;1180;4.2
17900;25751;Benzine;7;2;1;71;0;999;1135;4.2
17900;13000;Benzine;7;2;1;70;0;999;1165;4.4
17900;63136;Benzine;7;3;1;70;0;999;1135;4.4
17900;21900;Diesel;7;2;1;85;0;1598;1175;4.2
17900;23357;Benzine;7;3;1;70;0;999;1580;4.4
17900;40000;Benzine;7;3;2;110;0;1395;1180;5
17900;63136;Benzine;7;3;2;70;0;999;1135;4.4
17890;27950;Benzine;7;3;1;92;1;1395;1180;4.9
16900;3150;Benzine;7;3;1;70;0;999;1165;4.4
17900;4810;Benzine;7;1;1;70;1;999;1180;4.6
16900;32700;Diesel;7;2;1;66;0;1422;1135;4
16900;67790;Diesel;7;3;2;66;0;1422;1165;4
17890;63500;Diesel;7;2;2;85;1;1598;1135;3.8
17900;37702;Benzine;7;2;2;93;0;1395;1135;4.2
17900;40164;Diesel;7;2;1;66;0;1422;1220;3.8
16900;47750;Benzine;7;3;2;71;0;999;1135;4.2
16890;39600;Benzine;7;3;1;92;1;1395;1180;5.2
16890;29200;Benzine;7;3;1;70;1;999;1135;4.4
16880;32103;Benzine;7;3;1;70;1;999;1135;4.4
16880;19700;Benzine;7;2;1;70;0;999;1180;4.4
16880;6680;Benzine;8;2;1;70;1;999;1180;4.4
16880;49100;Benzine;6;3;1;92;1;1395;1155;5.1
16879;30348;Benzine;7;3;1;92;1;1395;1215;5.2
16870;7680;Diesel;7;2;1;66;0;1422;1195;4.1
16850;36400;Diesel;7;3;1;66;1;1422;1195;4
16840;49800;Benzine;7;3;2;92;0;1395;1135;4.9
16830;50200;Benzine;7;3;1;92;0;1395;1180;4.9
16876;47500;Benzine;7;3;1;92;1;1395;1215;4.9
16820;24762;Benzine;7;2;1;70;1;999;1180;4.4
16800;36236;Benzine;5;3;1;70;0;999;1135;5.1
16790;38831;Benzine;7;3;1;92;0;1395;1180;5.2
16780;18556;Diesel;7;2;1;66;0;1422;1220;3.7
16530;36625;Diesel;7;3;1;85;0;1598;1180;4
16500;25000;Benzine;7;3;1;92;0;1395;1660;4.9
16500;36041;Diesel;7;2;1;85;0;1598;1275;4
16500;36500;Diesel;7;3;1;85;0;1598;1275;3.7
16500;66000;Diesel;7;3;1;85;0;1598;1275;3.7
16490;90000;Diesel;7;3;1;67;0;1422;1135;4.2
16490;14000;Benzine;7;3;1;70;1;999;1135;4.4
16490;16081;Benzine;7;3;1;70;1;999;1135;4.4
16480;32863;Benzine;6;3;1;92;1;1395;1135;4.2
16480;54889;Benzine;7;3;1;70;1;999;1135;4.4
16450;18392;Benzine;7;3;1;70;1;999;1165;4.4
16480;40800;Benzine;7;3;1;92;1;1395;1180;4.9
16480;60490;Diesel;7;3;1;66;0;1422;1195;4.1
16444;33142;Benzine;7;3;2;70;1;999;1180;4.4
16430;40500;Benzine;6;3;2;92;1;1395;1155;5.1
16443;13819;Benzine;7;3;1;92;0;1395;1180;4.9
17300;18800;Diesel;7;3;1;66;0;1422;1220;3.8
17240;40550;Benzine;7;3;1;92;1;1395;1135;4.9
17150;25000;Benzine;7;3;1;70;0;999;1140;4.4
17000;46000;Diesel;7;2;1;85;0;1598;1135;3.7
16999;31987;Diesel;7;2;1;85;0;1598;1180;4
16999;52800;Benzine;7;3;1;110;1;1395;1230;4.7
16995;57178;Diesel;7;3;1;67;0;1422;1135;4.2
16990;36500;Diesel;7;2;2;85;0;1598;1275;4
16990;14000;Benzine;7;2;2;70;0;999;1157;4.4
16980;59500;Benzine;7;3;1;92;0;1395;1180;5.1
16970;26861;Diesel;7;3;1;85;0;1598;1275;3.9
16950;13200;Benzine;7;1;1;70;1;999;1165;4.4
16975;19177;Benzine;7;2;2;70;1;999;1180;4.4
16950;19044;Benzine;7;2;1;70;0;999;1180;4.6
16930;40500;Benzine;7;3;1;70;1;999;1180;4.4
16900;33000;Diesel;7;2;2;66;0;1422;1220;4
16900;21000;Diesel;7;2;2;66;0;1422;1180;3.8
16900;58033;Diesel;7;3;1;85;0;1598;1135;3.7
16900;32000;Diesel;7;2;2;85;0;1598;1200;3.7
17890;12500;Benzine;7;3;1;70;1;999;1135;4.5
17890;36530;Diesel;7;2;1;66;0;1422;1135;3.8
17880;5991;Benzine;7;1;1;70;0;999;1135;4.4
17880;33306;Benzine;7;2;1;70;1;999;1140;4.4
17850;52896;Benzine;7;3;2;92;1;1395;1180;4.9
17750;32000;Diesel;7;2;1;85;0;1598;1275;4
17820;9998;Benzine;7;2;1;92;1;1395;1180;4.9
17790;49198;Diesel;7;3;2;67;0;1422;1135;4.2
17777;28600;Diesel;7;2;1;66;0;1422;1135;3.8
17820;59000;Benzine;7;2;1;92;0;1395;1135;5
17770;10300;Benzine;7;1;1;70;0;999;1135;4.4
17700;24550;Benzine;7;2;1;70;0;999;1610;4.4
17700;26000;Diesel;7;3;2;85;0;1596;1135;3.6
17700;40800;Benzine;7;3;2;70;0;999;1090;4.4
17700;24550;Benzine;7;2;1;70;0;999;1165;4.4
17660;7701;Benzine;7;1;1;70;0;999;1165;4.4
17650;19500;Benzine;7;2;2;92;0;1395;1215;4.9
17650;45605;Diesel;7;2;1;66;0;1422;1220;3.8
17530;45200;Benzine;7;3;1;92;1;1395;1135;4.9
17500;22500;Benzine;5;2;2;70;0;999;1135;4.2
15420;44585;Diesel;7;3;1;85;0;1598;1180;3.8
15250;32750;Benzine;7;3;1;70;1;999;1135;4.4
15250;61980;Diesel;7;3;1;66;1;1422;1165;3.8
15190;37500;Benzine;7;2;1;70;0;999;1135;4.2
15200;49600;Diesel;5;3;1;66;0;1422;1205;3.9
15180;76275;Diesel;7;3;1;85;0;1598;1225;4
15380;46900;Diesel;7;3;1;85;1;1598;1135;4
14250;10000;Benzine;7;3;1;70;0;999;1165;4.4
14450;49466;Diesel;7;3;1;66;1;1422;1135;4.1
14470;48800;Benzine;7;3;2;70;1;999;1180;4.6
14350;94300;Diesel;7;3;1;85;1;1598;1135;3.8
14210;18600;Benzine;7;3;1;70;1;999;1110;4.4
14300;67278;Diesel;7;3;1;66;0;1422;1120;3.6
13892;69850;Diesel;7;3;1;66;1;1422;1135;3.8
13990;46000;Diesel;7;3;1;85;1;1598;1792;4
13950;10000;Benzine;7;3;1;70;0;999;1065;4.4
13900;108000;Diesel;7;3;1;66;0;1422;1250;3.8
14990;35367;Benzine;7;3;1;70;1;999;1180;4.4
15000;78000;Diesel;7;2;1;85;0;1598;1275;3.9
14998;137066;Diesel;7;3;1;85;1;1598;1180;4
14990;34000;Diesel;7;3;1;85;1;1598;1275;4.1
14990;9600;Benzine;7;2;1;70;0;999;1180;4.6
13880;88800;Diesel;7;3;1;66;0;1422;1180;3.8
13500;59150;Diesel;7;3;1;66;0;1422;1205;3.4
13480;110375;Diesel;7;3;1;66;0;1422;1135;3.8
13450;26310;Benzine;7;1;1;70;0;999;1165;4.4
13250;65000;Benzine;7;3;2;70;1;999;1110;4.4
14990;49351;Diesel;7;3;2;66;0;1422;1180;4
13599;58380;Diesel;7;3;1;66;1;1422;1135;3.8
15700;31100;Diesel;5;3;1;85;0;1598;1135;4.2
15680;79244;Benzine;7;3;1;92;1;1395;1135;4.2
15750;58722;Diesel;7;3;1;85;1;1598;1135;3.8
15660;11725;Benzine;7;3;1;70;0;999;1635;4.4
15750;41600;Diesel;7;3;2;85;1;1598;1135;3.8
11000;56000;Diesel;7;3;2;85;0;1598;1275;3.9
14990;60000;Diesel;7;3;2;66;0;1422;1165;3.6
14959;56967;Benzine;7;3;2;70;1;999;1135;4.4
14959;56967;Benzine;7;3;2;70;1;999;1180;4.4
14930;87300;Benzine;7;3;1;92;1;1395;1180;4.9
14930;86698;Benzine;7;3;2;70;1;999;1135;4.4
14950;70000;Diesel;7;3;2;66;0;1422;1250;3.8
14930;87300;Benzine;7;3;1;92;1;1395;1135;4.9
14900;115900;Diesel;7;2;2;85;0;1598;1135;3.8
14850;25000;Benzine;7;3;1;70;0;999;1180;4.6
14890;58718;Diesel;7;3;1;85;0;1598;1180;4
14700;35730;Benzine;7;3;1;92;1;1395;1180;5.1
14799;75000;Diesel;7;3;1;66;0;1422;1165;3.8
16395;58525;Benzine;7;3;1;70;0;999;1135;4.4
16250;37000;Benzine;7;3;1;70;0;999;1165;4.4
16400;42000;Benzine;7;3;1;92;0;1395;1215;4.9
16290;53000;Diesel;7;3;2;85;0;1598;1180;4
16199;31235;Benzine;7;3;2;70;1;999;1165;4.4
15998;72761;Benzine;7;3;2;71;0;999;1090;4.4
15990;73575;Diesel;7;3;2;85;0;1598;1135;4.3
16000;19000;Diesel;7;2;1;66;0;1422;1250;4
16150;19068;Benzine;7;2;1;70;0;999;1165;4.4
16000;11000;Diesel;7;3;1;85;0;1598;1275;3.7
15993;33200;Benzine;7;3;1;92;1;1395;1180;5.2
15990;45000;Diesel;7;3;1;85;0;1598;1275;4
15990;42900;Diesel;7;3;1;66;0;1422;1180;3.8
15980;52900;Diesel;7;3;1;66;0;1422;1220;3.7
15590;40500;Benzine;7;3;1;70;0;999;1180;4.4
15990;146140;Diesel;7;3;1;85;0;1598;1275;3.7
15980;44300;Diesel;7;3;2;85;1;1598;1135;3.8
15990;9300;Benzine;7;1;1;70;1;999;1180;4.4
15980;72192;Diesel;7;3;1;85;0;1598;1225;4
15990;46123;Benzine;7;3;1;92;1;1395;1180;5.1
15580;18150;Diesel;7;2;1;66;1;1422;1135;3.8
15490;42979;Benzine;7;3;1;70;0;999;1135;4.4
15500;24000;Diesel;7;3;1;66;0;999;1135;4.2
15490;40528;Diesel;7;2;1;66;0;1422;1195;3.4
15500;104000;Benzine;7;3;1;70;0;999;1065;4.4
15500;63473;Diesel;7;3;1;85;0;1598;1275;4
15490;29950;Benzine;7;3;1;110;0;1395;1205;4.7
15480;25320;Benzine;7;3;1;92;0;1395;1155;5.1
15450;24030;Diesel;7;2;1;66;0;1422;1180;4
15450;36590;Benzine;7;3;1;70;1;999;1180;4.4
15450;34011;Diesel;7;3;1;85;0;999;1135;3
15450;25600;Diesel;7;3;1;66;0;1422;1220;4
15444;13776;Benzine;7;3;1;70;0;999;1180;4.4
15960;34400;Benzine;7;3;1;70;1;999;1180;4.4
15960;34400;Benzine;7;3;1;70;1;999;1135;4.4
15930;66844;Diesel;7;3;1;85;0;1598;1275;4
15900;58000;Diesel;7;3;0;66;0;1598;1210;3.9
15900;40000;Diesel;7;3;0;85;0;1598;1250;3.8
15900;41500;Benzine;7;3;1;70;1;999;1165;4.4
15425;43255;Benzine;7;3;1;70;1;999;1180;4.4
15889;42023;Benzine;7;3;2;70;1;999;1180;4.4
15970;36950;Benzine;7;3;1;70;1;999;1135;4.4
15889;106829;Diesel;7;3;1;85;1;1598;1275;4
15880;49880;Diesel;7;2;2;66;1;1422;1135;3.8
15850;50272;Benzine;7;3;1;70;1;999;1165;4.4
15850;69900;Diesel;7;3;1;66;1;1422;1195;4
15800;19582;Benzine;7;3;1;70;0;999;1135;4.4
15790;43954;Benzine;7;3;1;70;1;999;1135;4.4
15840;32910;Benzine;7;3;1;70;0;999;1135;4.4
15830;23327;Benzine;7;3;1;70;0;999;1165;4.6
15790;32814;Benzine;7;3;2;70;0;999;1135;4.4
15789;59702;Diesel;7;3;1;85;1;1598;1135;3.8
15784;65838;Diesel;7;3;1;67;0;1422;1135;4.2
15780;23211;Benzine;7;3;1;70;0;999;1135;4.4
12170;97930;Diesel;5;3;1;66;1;1422;1180;3.9
12490;70000;Diesel;5;3;1;66;1;1422;1195;3.7
12820;54392;Benzine;5;3;1;70;0;999;1180;4.2
11950;73000;Benzine;5;3;1;70;0;999;1135;4.2
12480;111380;Diesel;5;3;1;85;0;1598;1135;3.7
12480;63350;Benzine;5;3;1;70;1;999;1135;4.2
12480;129550;Diesel;5;3;2;85;0;1598;1135;3.7
12900;28978;Diesel;5;3;2;66;0;1422;1640;3.7
13420;61220;Benzine;5;3;1;70;1;999;1135;4.4
13490;71000;Diesel;5;2;2;66;0;1422;1135;3.7
13490;24999;Benzine;5;3;1;70;0;999;1135;4.2
13490;46400;Benzine;5;3;1;70;0;999;1110;4.2
12900;62400;Diesel;5;3;1;66;1;1422;1135;3.7
13680;81600;Diesel;5;3;1;66;1;1422;1135;3.7
13640;65500;Benzine;5;3;1;60;0;999;1135;4.2
13650;25950;Benzine;5;3;1;60;0;999;1135;4.2
13490;32779;Benzine;5;3;1;70;1;999;1180;4.4
13660;75800;Diesel;5;3;1;85;1;1598;1180;3.8
13680;23450;Benzine;5;3;1;92;1;1395;1180;5.1
13750;63952;Benzine;5;3;1;70;1;999;1135;4.2
13900;34000;Benzine;5;3;1;60;0;999;1110;4.2
13900;47155;Benzine;5;3;1;70;1;999;1135;4.4
13900;80000;Diesel;5;3;1;66;0;1422;1205;3.4
13900;39838;Benzine;6;3;1;92;0;1395;1180;5.2
13890;29600;Benzine;5;3;1;70;0;999;1060;4.2
13890;30000;Benzine;5;3;1;70;1;999;1180;4.4
13890;22223;Benzine;5;2;1;60;0;999;1180;4.4
13890;107592;Diesel;5;3;1;85;1;1598;1180;4
13890;125000;Diesel;5;3;1;85;1;1598;1180;3.9
13900;20000;Benzine;5;2;1;60;0;999;1135;4.2
13890;38900;Diesel;5;3;1;85;0;1598;1175;3.5
13890;18371;Diesel;5;2;1;67;0;1422;1195;3.7
13940;84708;Diesel;5;3;2;66;1;1422;1135;3.7
13940;115000;Diesel;5;3;1;85;1;1598;1135;3.7
13940;58011;Diesel;5;3;1;66;0;1422;1180;3.7
13900;56989;Diesel;5;3;1;66;0;1422;1195;3.7
13900;65000;Benzine;5;3;1;70;0;999;1135;4.3
13900;40200;Benzine;5;3;1;70;1;999;1180;4.4
13900;59000;Benzine;5;3;1;70;0;999;1135;4.2
13900;24978;Diesel;5;3;1;85;0;1598;1225;3.7
13900;10000;Diesel;5;2;1;66;0;1422;1205;3.7
13900;100000;Diesel;5;3;1;85;0;1598;1250;3.8
13900;44000;Benzine;5;3;1;60;0;999;1110;4.2
13900;36040;Benzine;5;3;1;70;1;999;1135;4.4
13900;84500;Diesel;5;3;1;66;0;1422;1180;3.6
13900;45521;Diesel;5;3;1;66;0;1422;1105;3.7
13900;61582;Diesel;5;3;1;66;0;1422;1105;3.7
13900;67992;Diesel;5;3;1;66;0;1422;1105;3.7
13900;54000;Benzine;5;3;1;70;0;999;1155;4.2
13900;100816;Diesel;5;3;1;85;0;1598;1135;3.8
13900;49000;Benzine;5;3;1;70;0;999;1135;4.3
13880;69347;Diesel;5;3;1;66;1;1422;1135;4.1
13888;80120;Benzine;5;3;1;70;0;999;1180;4.4
13880;88483;Diesel;5;3;1;66;1;1422;1205;3.7
13880;51400;Benzine;5;3;1;70;1;999;1135;4.4
13880;63150;Benzine;5;3;1;70;0;999;1135;4.2
13880;41961;Benzine;5;3;1;70;0;999;1135;4.4
13750;63608;Benzine;5;3;1;70;1;999;1135;4.2
13750;41515;Diesel;5;3;1;66;0;1422;1105;3.7
13750;91500;Diesel;5;3;1;66;0;1422;1205;3.9
13720;62400;Diesel;5;3;1;66;1;1422;1180;3.7
13719;31255;Benzine;5;3;1;70;1;999;1135;4.2
13700;37000;Diesel;5;3;1;66;0;1422;1195;3.7
13710;55850;Benzine;5;3;1;70;1;999;1110;4.4
13700;70000;Diesel;5;3;2;66;0;1422;1135;4.2
13700;70000;Diesel;5;3;2;66;0;1422;1205;3.9
13700;87500;Benzine;5;3;2;70;0;999;1180;4.4
13700;62500;Diesel;5;3;1;66;0;1422;1205;3.9
13700;77000;Benzine;5;3;1;70;0;999;1135;4.2
13700;53000;Benzine;5;3;1;70;0;999;1135;5.1
13700;39283;Benzine;5;3;1;70;1;999;1135;4.4
13700;56539;Benzine;5;3;1;70;0;999;1135;4.4
13690;32894;Benzine;5;3;1;70;0;999;1135;4.4
13685;100200;Diesel;5;3;1;85;1;1598;1180;4
13680;15100;Benzine;5;3;2;60;1;999;1135;4.2
13880;51218;Diesel;5;3;1;66;1;1422;1180;4.4
13000;88879;Benzine;6;3;1;92;0;1395;1180;5.1
